RX,STIOCPMV,Index,Date,Time,FREQ[MHz],MEAS.F[kHz],LEVEL[dBm],AM-MOD./30Hz[%],AM-MOD./9960Hz[%],FREQ_30[Hz],FREQ_9960[Hz],FREQ_FM30[Hz],BEARING(from)[°],FM-DEV.[Hz],FM-INDEX,VOICE-MOD.[%],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],SubCarr_K2[dB],SubCarr_K3[dB],SubCarr_K4[dB],SubCarr_K5[dB],AM60Hz[%],AM1k44[%],AM1k50[%],No.Of Segm,GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],IFBW Manual,MeasTime[ms],ATT.MODE,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I   M ,1952,23.07.2024,16:44:15.803,117.0000,-0.0915,-97.82,15.85,57.49,29.42,9981.63,31.55,207.84,217.68,8.65,13.88,8.20,1010.5,----,-.--,-.--,-.-,-.-,-.-,-.-,2.07,3.53,4.57,5.15,6.54,16.70,17.51,48,06 59.49630908' S,107 33.97064546' E,680.62,1.42,23.07.2024,09:45:02.434,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1953,23.07.2024,16:44:16.053,117.0000,-0.0230,-97.98,14.60,58.63,30.53,9907.24,31.29,19.43,140.73,5.10,13.01,8.12,1030.0,----,-.--,-.--,-.-,-.-,-.-,-.-,1.88,3.31,4.40,5.07,8.58,15.82,15.63,48,06 59.49646408' S,107 33.97056796' E,680.35,1.61,23.07.2024,09:45:02.684,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1954,23.07.2024,16:44:16.303,117.0000,0.0522,-97.96,17.17,58.66,29.95,9941.86,29.45,14.59,200.35,7.17,12.37,7.24,1038.6,----,-.--,-.--,-.-,-.-,-.-,-.-,1.82,3.21,4.33,5.08,8.89,14.16,16.52,48,06 59.49661908' S,107 33.97049046' E,680.07,1.81,23.07.2024,09:45:02.934,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1955,23.07.2024,16:44:16.553,117.0000,0.0665,-98.37,16.18,55.26,30.07,9979.91,36.05,146.73,188.72,5.51,12.73,7.92,1010.8,----,-.--,-.--,-.-,-.-,-.-,-.-,1.81,3.16,4.31,5.10,8.22,18.51,19.13,48,06 59.49614656' S,107 33.97051952' E,680.03,0.80,23.07.2024,09:45:03.184,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I     ,1956,23.07.2024,16:44:16.803,117.0000,0.0175,-98.35,21.46,57.52,29.61,9963.55,36.77,73.02,162.06,4.74,12.80,7.42,1011.2,----,-.--,-.--,-.-,-.-,-.-,-.-,1.80,3.08,4.29,5.14,10.15,15.70,16.76,48,06 59.49616906' S,107 33.97046452' E,679.81,0.74,23.07.2024,09:45:03.434,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1957,23.07.2024,16:44:17.053,117.0000,0.0006,-98.43,21.56,56.95,30.30,9949.43,23.17,353.84,227.03,10.03,13.77,5.81,1054.6,----,-.--,-.--,-.-,-.-,-.-,-.-,1.85,3.09,4.37,5.20,8.52,21.27,19.10,48,06 59.49619156' S,107 33.97040952' E,679.58,0.68,23.07.2024,09:45:03.684,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1958,23.07.2024,16:44:17.303,117.0000,0.0429,-98.14,15.61,56.95,29.92,9925.37,37.31,151.94,137.43,3.81,13.88,8.31,1035.6,----,-.--,-.--,-.-,-.-,-.-,-.-,1.88,3.09,4.29,5.20,4.60,15.34,16.11,48,06 59.49621406' S,107 33.97035452' E,679.36,0.62,23.07.2024,09:45:03.934,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1959,23.07.2024,16:44:17.553,117.0000,-0.1699,-98.02,18.02,58.09,30.33,10020.38,29.37,178.15,187.63,7.72,14.06,9.41,1048.9,----,-.--,-.--,-.-,-.-,-.-,-.-,1.85,3.05,4.19,5.06,9.44,16.41,15.29,48,06 59.49673384' S,107 33.97069024' E,679.49,1.59,23.07.2024,09:45:04.184,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1960,23.07.2024,16:44:17.803,117.0000,-0.0318,-98.20,22.74,58.03,29.60,9899.66,31.87,169.07,140.16,5.59,12.48,7.27,1030.1,----,-.--,-.--,-.-,-.-,-.-,-.-,1.92,3.07,4.25,5.05,10.08,16.94,17.59,48,06 59.49686134' S,107 33.97071774' E,679.34,1.75,23.07.2024,09:45:04.434,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I     ,1961,23.07.2024,16:44:18.053,117.0000,0.0361,-98.21,15.44,59.11,29.65,9927.13,26.52,358.59,192.70,7.05,13.40,6.90,1040.5,----,-.--,-.--,-.-,-.-,-.-,-.-,2.02,3.14,4.27,5.06,6.46,16.46,15.96,48,06 59.49698884' S,107 33.97074524' E,679.19,1.90,23.07.2024,09:45:04.684,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
1,  I   M ,1962,23.07.2024,16:44:18.303,117.0000,-0.0547,-97.84,12.58,56.59,30.56,9892.67,30.78,253.97,259.88,8.79,13.52,7.46,1045.2,----,-.--,-.--,-.-,-.-,-.-,-.-,2.00,3.13,4.27,5.07,7.48,17.98,18.16,48,06 59.49711634' S,107 33.97077274' E,679.04,2.06,23.07.2024,09:45:04.934,6,OK,GPS,1.13,1.98,1.60,54,25KHZ,250,Auto:Low Noise+,-.---,-.---,0,-,0,
