RX,STIOCPMV,Index,Date,Time,FREQ[MHz],SINGLE[kHz],CRS_UF[kHz],CLR_LF[kHz],LEVEL[dBm],AM-MOD./90Hz[%],AM-MOD./150Hz[%],FREQ_90[Hz],FREQ_150[Hz],DDM(90-150)[1],SDM[%],PHI-90/150[°],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],LEV_CLR_LF[dBm],LEV_CRS_UF[dBm],AM-MOD_CLR_LF/90Hz[%],AM-MOD_CLR_LF/150Hz[%],FREQ_90_CLR_LF[Hz],FREQ_150_CLR_LF[Hz],DDM_CLR_LF(90-150)[1],SDM_CLR_LF[%],PHI-90/150_CLR_LF[°],AM-MOD_CRS_UF/90Hz[%],AM-MOD_CRS_UF/150Hz[%],FREQ_90_CRS_UF[Hz],FREQ_150_CRS_UF[Hz],DDM_CRS_UF(90-150)[1],SDM_CRS_UF[%],PHI-90/150_CRS_UF[°],PHI-90/90[°],PHI-150/150[°],ResFM90[Hz],ResFM150[Hz],K2/90Hz[%],K2/150Hz[%],K3/90Hz[%],K3/150Hz[%],K4/90Hz[%],K4/150Hz[%],THD/90Hz[%],THD/150Hz[%],AM240[%],GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],MeasTime[ms],MeasMode,LOC_GP,ATT.MODE,DemodOffset_1F[kHz],DemodOffset_CRS[kHz],DemodOffset_CLR[kHz],Autotune_1F,Autotune_CRS,Autotune_CLR,IFBW_Man_WIDE,IFBW_Man_UCLC,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I   M ,8,23.07.2024,16:46:31.727,334.7000,-0.4455,-.----,-.----,-111.57,1.79,2.16,-.--,-.--,-3.2,3.95,-.--,7.40,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,544.91,637.85,3.39,2.86,2.75,2.35,2.20,2.07,588.84,inf,3.14,06 59.49722808' S,107 33.97072632' E,672.28,0.76,23.07.2024,09:47:18.364,6,OK,GPS,0.92,2.31,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I     ,9,23.07.2024,16:46:32.227,334.7000,-0.3717,-.----,-.----,-111.53,2.31,2.50,-.--,-.--,-1.6,4.81,-.--,7.05,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,477.58,632.18,2.47,2.77,2.40,2.05,2.69,2.97,241.92,262.84,3.10,06 59.49708808' S,107 33.97066632' E,672.53,0.88,23.07.2024,09:47:18.864,6,OK,GPS,0.92,2.31,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I     ,10,23.07.2024,16:46:32.726,334.7000,-0.2300,-.----,-.----,-111.30,2.68,2.43,-.--,-.--,2.1,5.11,-.--,7.58,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,600.79,674.04,2.34,2.09,1.95,2.17,2.51,2.54,278.63,400.88,2.83,06 59.49734363' S,107 33.97081089' E,672.78,0.22,23.07.2024,09:47:19.363,6,OK,GPS,0.92,2.31,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,11,23.07.2024,16:46:33.226,334.7000,-0.4732,-.----,-.----,-111.28,2.74,2.58,-.--,-.--,1.3,5.32,-.--,7.44,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,647.43,616.91,1.86,2.18,2.88,2.25,2.73,2.27,inf,241.49,3.61,06 59.49734863' S,107 33.97082589' E,673.03,0.05,23.07.2024,09:47:19.863,6,OK,GPS,0.92,2.31,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,12,23.07.2024,16:46:33.726,334.7000,-0.3054,-.----,-.----,-111.29,2.94,3.10,-.--,-.--,-1.3,6.04,-.--,7.10,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,637.15,574.87,2.81,2.87,3.49,2.35,2.79,2.90,243.55,214.26,3.67,06 59.49714918' S,107 33.97082726' E,673.28,0.02,23.07.2024,09:47:20.363,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,13,23.07.2024,16:46:34.226,334.7000,-0.2574,-.----,-.----,-111.34,2.84,2.43,-.--,-.--,3.5,5.27,-.--,8.98,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,540.78,738.86,2.90,3.28,2.35,2.10,3.08,2.63,289.38,306.43,2.36,06 59.49707918' S,107 33.97083726' E,673.53,-0.10,23.07.2024,09:47:20.863,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,14,23.07.2024,16:46:34.727,334.7000,-0.2836,-.----,-.----,-110.86,2.71,2.05,-.--,-.--,5.7,4.76,-.--,7.37,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,525.51,656.10,2.72,3.23,2.64,2.83,3.21,2.70,272.06,inf,3.12,06 59.49703632' S,107 33.97095640' E,673.51,0.41,23.07.2024,09:47:21.364,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I     ,15,23.07.2024,16:46:35.227,334.7000,-0.4266,-.----,-.----,-110.32,2.73,2.22,-.--,-.--,4.4,4.94,-.--,7.84,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,476.05,592.71,3.96,2.36,1.71,3.18,2.48,2.39,inf,inf,2.46,06 59.49697632' S,107 33.97100640' E,673.66,0.52,23.07.2024,09:47:21.864,7,OK,GPS,0.91,1.65,1.60,55,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,16,23.07.2024,16:46:35.727,334.7000,-0.4304,-.----,-.----,-110.31,1.87,2.54,-.--,-.--,-5.7,4.41,-.--,7.30,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,439.98,608.04,3.19,2.76,2.63,1.95,2.19,3.59,433.28,289.65,3.38,06 59.49686176' S,107 33.97094728' E,673.81,0.35,23.07.2024,09:47:22.364,7,OK,GPS,0.91,1.65,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   M ,17,23.07.2024,16:46:36.227,334.7000,-0.2196,-.----,-.----,-110.11,1.88,2.31,-.--,-.--,-3.6,4.19,-.--,8.44,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,457.48,593.32,3.88,2.74,2.03,2.09,2.82,3.22,inf,inf,2.99,06 59.49678176' S,107 33.97095728' E,673.96,0.35,23.07.2024,09:47:22.864,7,OK,GPS,0.91,1.65,1.60,54,500,WIDE,GS,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
