RX,STIOCPMV,Index,Date,Time,FREQ[MHz],SINGLE[kHz],CRS_UF[kHz],CLR_LF[kHz],LEVEL[dBm],AM-MOD./90Hz[%],AM-MOD./150Hz[%],FREQ_90[Hz],FREQ_150[Hz],DDM(90-150)[1],SDM[%],PHI-90/150[°],ID-MOD.[%],ID-F.[Hz],ID-CODE,ID-Per.[s],Last_ID[s],DotLen[ms],DashLen[ms],DotDashGap[ms],Lettergap[ms],LEV_CLR_LF[dBm],LEV_CRS_UF[dBm],AM-MOD_CLR_LF/90Hz[%],AM-MOD_CLR_LF/150Hz[%],FREQ_90_CLR_LF[Hz],FREQ_150_CLR_LF[Hz],DDM_CLR_LF(90-150)[1],SDM_CLR_LF[%],PHI-90/150_CLR_LF[°],AM-MOD_CRS_UF/90Hz[%],AM-MOD_CRS_UF/150Hz[%],FREQ_90_CRS_UF[Hz],FREQ_150_CRS_UF[Hz],DDM_CRS_UF(90-150)[1],SDM_CRS_UF[%],PHI-90/150_CRS_UF[°],PHI-90/90[°],PHI-150/150[°],ResFM90[Hz],ResFM150[Hz],K2/90Hz[%],K2/150Hz[%],K3/90Hz[%],K3/150Hz[%],K4/90Hz[%],K4/150Hz[%],THD/90Hz[%],THD/150Hz[%],AM240[%],GPS_lat.,GPS_long.,GPS_alt[m],GPS_speed[km/h],GPS_date,GPS_time,GPS_Sat,GPS_Status,GPS_Fix,GPS_HDOP,GPS_VDOP,GPS_Und.[m],Temp[°C],MeasTime[ms],MeasMode,LOC_GP,ATT.MODE,DemodOffset_1F[kHz],DemodOffset_CRS[kHz],DemodOffset_CLR[kHz],Autotune_1F,Autotune_CRS,Autotune_CLR,IFBW_Man_WIDE,IFBW_Man_UCLC,BaseBand_Lev[V],BaseBand_DC[V],TrigCounter,I/Q_Position,I/Q_Samples,x
1,  I   MV,4,23.07.2024,16:48:17.847,110.7000,0.0466,-.----,-.----,-82.66,20.20,18.01,-.--,-.--,21.2,38.20,-.--,2.68,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,10.81,4.81,0.81,4.53,0.81,0.66,0.67,0.89,7.20,26.12,0.82,06 59.48799704' S,107 33.97448024' E,667.20,2.11,23.07.2024,09:49:04.488,5,OK,GPS,1.09,1.75,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   MV,5,23.07.2024,16:48:18.346,110.7000,0.0485,-.----,-.----,-82.57,20.10,18.26,89.99,149.99,17.8,38.35,-1.58,2.97,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,13.94,7.99,0.64,4.47,0.68,0.97,0.72,0.90,6.46,25.77,0.49,06 59.48791221' S,107 33.97447026' E,667.10,2.06,23.07.2024,09:49:04.987,5,OK,GPS,1.09,1.75,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,6,23.07.2024,16:48:18.845,110.7000,0.0466,-.----,-.----,-82.48,19.97,18.25,89.98,149.98,16.7,38.23,-2.28,2.96,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,10.24,4.45,0.76,4.33,0.62,0.93,0.67,0.79,6.66,24.80,0.88,06 59.48858524' S,107 33.97330120' E,666.85,1.57,23.07.2024,09:49:05.486,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I   MV,7,23.07.2024,16:48:19.344,110.7000,0.0465,-.----,-.----,-82.54,20.00,18.70,89.96,150.00,12.6,38.70,-3.19,2.83,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,10.47,4.65,0.80,4.16,0.91,0.71,0.58,0.77,7.56,23.11,0.73,06 59.48875490' S,107 33.97290200' E,666.70,1.37,23.07.2024,09:49:05.985,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,8,23.07.2024,16:48:19.843,110.7000,0.0485,-.----,-.----,-81.20,20.15,19.63,90.06,150.01,5.0,39.78,-1.30,2.01,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,10.23,7.58,0.64,3.88,0.67,0.81,0.77,0.75,6.63,20.69,0.65,06 59.48882068' S,107 33.97268088' E,667.00,1.55,23.07.2024,09:49:06.484,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,9,23.07.2024,16:48:20.343,110.7000,0.0485,-.----,-.----,-80.96,19.72,19.53,90.00,150.00,1.8,39.24,-1.60,2.27,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,9.75,7.30,0.71,3.67,0.75,0.90,0.70,0.69,6.81,19.92,0.74,06 59.48895568' S,107 33.97234088' E,667.00,1.48,23.07.2024,09:49:06.984,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,10,23.07.2024,16:48:20.843,110.7000,0.0465,-.----,-.----,-81.25,19.63,19.66,90.00,150.00,-0.3,39.29,-0.64,1.94,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,6.51,3.69,0.52,3.66,0.67,0.81,0.68,0.69,6.05,19.55,0.85,06 59.48955072' S,107 33.97269836' E,666.85,-0.04,23.07.2024,09:49:07.484,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,11,23.07.2024,16:48:21.342,110.7000,0.0465,-.----,-.----,-81.95,20.00,20.02,90.00,150.00,-0.2,40.02,-2.42,1.97,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,8.26,5.05,0.70,4.15,0.71,0.71,0.57,0.69,6.58,21.42,0.48,06 59.48984014' S,107 33.97259357' E,666.80,-0.61,23.07.2024,09:49:07.983,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,12,23.07.2024,16:48:21.842,110.7000,0.0486,-.----,-.----,-82.07,19.81,19.91,90.02,150.00,-0.9,39.72,-0.63,2.18,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,8.95,5.81,0.70,4.30,0.83,0.87,0.59,0.95,6.92,22.66,0.81,06 59.48967041' S,107 33.97231061' E,666.60,0.49,23.07.2024,09:49:08.483,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
1,  I    V,13,23.07.2024,16:48:22.343,110.7000,0.0465,-.----,-.----,-82.00,20.17,20.32,90.00,150.01,-1.5,40.49,-1.88,1.99,-.-,----,-.--,-.--,-.-,-.-,-.-,-.-,-.--,-.--,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,-.--,-.--,-.-,-.--,0.00,-.--,-.--,7.28,3.64,0.60,4.56,0.68,0.63,0.60,0.79,6.11,23.17,0.63,06 59.48980568' S,107 33.97214528' E,666.50,0.49,23.07.2024,09:49:08.984,6,OK,GPS,0.98,1.74,1.60,55,500,WIDE,LLZ,Auto:Low Noise+,-.-,-.-,-.-,FIXED,OFF,OFF,25KHZ,3KHZ,-.---,-.---,0,-,0,
